code,similar_code,rank,distance
pm,tv,1,0.3215
pm,kz,2,0.3244
pm,uz,3,0.3399
pm,tz,4,0.3412
pm,rw,5,0.3443
pm,az,6,0.3557
pn,vg,1,0.0359
pn,gs,2,0.0436
pn,ms,3,0.0552
pn,ky,4,0.0561
pn,tc,5,0.0619
pn,sh,6,0.0632
pr,pf,1,0.2511
pr,lb,2,0.2549
pr,at,3,0.2938
pr,cl,4,0.2969
pr,gq,5,0.299
pr,cz,6,0.304
ps,ae,1,0.0971
ps,eh,2,0.123
ps,jo,3,0.1541
ps,sd,4,0.2168
ps,ye,5,0.2174
ps,eg,6,0.2189
pt,by,1,0.1633
pt,mv,2,0.1732
pt,tl,3,0.207
pt,bo,4,0.2332
pt,gh,5,0.2391
pt,me,6,0.2392
pw,kz,1,0.1363
pw,aq,2,0.2059
pw,tv,3,0.2133
pw,hn,4,0.2557
pw,rw,5,0.2751
pw,pm,6,0.3934
py,hr,1,0.0663
py,lu,2,0.1731
py,hu,3,0.1746
py,ye,4,0.19
py,iq,5,0.1982
py,eg,6,0.2
qa,lv,1,0.1967
qa,bv,2,0.2587
qa,no,3,0.2587
qa,sj,4,0.2587
qa,sx,5,0.2643
qa,bh,6,0.2953
re,cd,1,0.2647
re,ni,2,0.3513
re,pr,3,0.3519
re,gq,4,0.3791
re,ph,5,0.3904
re,ht,6,0.3917
ro,td,1,0.0015
ro,ml,2,0.1618
ro,ve,3,0.1759
ro,md,4,0.1765
ro,ad,5,0.1998
ro,fr,6,0.2067
rs,sg,1,0.2196
rs,mc,2,0.2326
rs,mx,3,0.25
rs,id,4,0.2565
rs,ki,5,0.2806
rs,my,6,0.2815
ru,bg,1,0.1449
ru,sk,2,0.1616
ru,si,3,0.1787
ru,cl,4,0.1867
ru,cz,5,0.2158
ru,pl,6,0.2327
rw,pw,1,0.2751
rw,kz,2,0.2892
rw,hn,3,0.3349
rw,az,4,0.3355
rw,tv,5,0.3363
rw,aq,6,0.3404
sa,dm,1,0.1977
sa,nf,2,0.2363
sa,pk,3,0.2478
sa,sb,4,0.2722
sa,af,5,0.332
sa,sr,6,0.3481
sb,sa,1,0.2722
sb,xk,2,0.283
sb,dm,3,0.289
sb,bs,4,0.3093
sb,se,5,0.3104
sb,tf,6,0.3227
sc,do,1,0.2595
sc,ki,2,0.2597
sc,om,3,0.2992
sc,fr,4,0.2995
sc,mf,5,0.2995
sc,my,6,0.3004
sd,ye,1,0.1136
sd,iq,2,0.1136
sd,eg,3,0.1156
sd,jo,4,0.1534
sd,eh,5,0.1538
sd,kw,6,0.1591
se,ax,1,0.1599
se,is,2,0.1858
se,bs,3,0.195
se,xk,4,0.2077
se,tf,5,0.2253
se,sv,6,0.2286
sg,mc,1,0.0493
sg,id,2,0.0672
sg,mt,3,0.1686
sg,ge,4,0.1861
sg,je,5,0.2021
sg,pf,6,0.2075
sh,ky,1,0.03
sh,nz,2,0.0305
sh,ai,3,0.032
sh,tc,4,0.0322
sh,au,5,0.0431
sh,fk,6,0.0441
si,ru,1,0.1787
si,sk,2,0.1794
si,bg,3,0.2079
si,cz,4,0.2397
si,pl,5,0.2475
si,cl,6,0.2572
sj,bv,1,0.0
sj,no,2,0.0
sj,lv,3,0.217
sj,qa,4,0.2587
sj,es,5,0.2815
sj,sx,6,0.2869
sk,ru,1,0.1616
sk,si,2,0.1794
sk,bg,3,0.1838
sk,pl,4,0.2017
sk,gl,5,0.2042
sk,cz,6,0.2099
sl,ni,1,0.1816
sl,uz,2,0.1958
sl,ne,3,0.2519
sl,gq,4,0.258
sl,ps,5,0.2772
sl,dj,6,0.2923
sm,ar,1,0.1538
sm,gt,2,0.1819
sm,dj,3,0.2453
sm,vi,4,0.2507
sm,yt,5,0.2559
sm,bl,6,0.2608
sn,ml,1,0.1464
sn,cg,2,0.2042
sn,kn,3,0.273
sn,ro,4,0.2809
sn,td,5,0.2825
sn,md,6,0.2895
so,fm,1,0.0221
so,aw,2,0.0996
so,bw,3,0.1396
so,fj,4,0.1672
so,gt,5,0.174
so,ar,6,0.2013
sr,ke,1,0.2385
sr,th,2,0.2973
sr,dm,3,0.3116
sr,nf,4,0.3149
sr,om,5,0.3264
sr,zw,6,0.3282
ss,vu,1,0.2816
ss,mq,2,0.2998
ss,ly,3,0.3139
ss,mw,4,0.3169
ss,eh,5,0.321
ss,ps,6,0.3234
st,gf,1,0.1957
st,cc,2,0.2376
st,zm,3,0.2479
st,tm,4,0.2557
st,ml,5,0.287
st,et,6,0.2886
sv,tf,1,0.1878
sv,is,2,0.1929
sv,gr,3,0.1977
sv,nl,4,0.1995
sv,xk,5,0.2082
sv,gb-sct,6,0.2164
sx,qa,1,0.2643
sx,bv,2,0.2869
sx,no,3,0.2869
sx,sj,4,0.2869
sx,lv,5,0.2935
sx,bq,6,0.2935
sy,eh,1,0.1348
sy,jo,2,0.1782
sy,kw,3,0.1994
sy,sd,4,0.2015
sy,eg,5,0.2101
sy,ye,6,0.2117
sz,nl,1,0.2868
sz,kp,2,0.3023
sz,ax,3,0.3127
sz,bs,4,0.3253
sz,mn,5,0.3326
sz,bv,6,0.337
tc,sh,1,0.0322
tc,ai,2,0.0396
tc,ky,3,0.0475
tc,nz,4,0.0493
tc,ms,5,0.0547
tc,vg,6,0.0549
td,ro,1,0.0015
td,ml,2,0.1609
td,ve,3,0.1741
td,md,4,0.1799
td,ad,5,0.2022
td,fr,6,0.2165
tf,xk,1,0.1223
tf,is,2,0.1613
tf,sv,3,0.1878
tf,se,4,0.2253
tf,ax,5,0.2526
tf,gb-sct,6,0.2647
tg,cm,1,0.234
tg,mz,2,0.2455
tg,gd,3,0.2511
tg,bo,4,0.3163
tg,ug,5,0.3198
tg,gw,6,0.3204
th,fi,1,0.2824
th,sr,2,0.2973
th,qa,3,0.3045
th,lr,4,0.3166
th,bv,5,0.3179
th,no,6,0.3179
tj,hu,1,0.1776
tj,pf,2,0.1889
tj,ye,3,0.1891
tj,lb,4,0.1952
tj,eg,5,0.2007
tj,py,6,0.204
tk,bb,1,0.1155
tk,cw,2,0.1617
tk,nr,3,0.2088
tk,pn,4,0.2097
tk,gs,5,0.2106
tk,vg,6,0.2228
tl,cn,1,0.1258
tl,me,2,0.1296
tl,ma,3,0.1326
tl,kg,4,0.133
tl,vn,5,0.1343
tl,im,6,0.1375
tm,zm,1,0.1241
tm,cc,2,0.1406
tm,st,3,0.2557
tm,cx,4,0.2729
tm,gf,5,0.2968
tm,tz,6,0.3507
tn,hk,1,0.0191
tn,im,2,0.0485
tn,tr,3,0.0515
tn,kg,4,0.0746
tn,cn,5,0.0784
tn,vn,6,0.0787
to,wf,1,0.1099
to,tr,2,0.1111
to,hk,3,0.1115
to,tn,4,0.1197
to,im,5,0.1202
to,ma,6,0.1319
tr,im,1,0.0328
tr,tn,2,0.0515
tr,hk,3,0.0515
tr,cn,4,0.054
tr,ma,5,0.0599
tr,vn,6,0.0635
tt,tl,1,0.1555
tt,wf,2,0.1571
tt,bm,3,0.1592
tt,hk,4,0.1642
tt,im,5,0.1683
tt,tn,6,0.1714
tv,kz,1,0.1578
tv,pw,2,0.2133
tv,aq,3,0.2235
tv,hn,4,0.2575
tv,pm,5,0.3215
tv,fj,6,0.3267
tw,ws,1,0.1125
tw,wf,2,0.141
tw,im,3,0.153
tw,ma,4,0.154
tw,tr,5,0.1548
tw,cn,6,0.157
tz,kn,1,0.245
tz,mw,2,0.2956
tz,pm,3,0.3412
tz,ps,4,0.344
tz,cc,5,0.3486
tz,ss,6,0.3495
ua,se,1,0.2636
ua,gf,2,0.3014
ua,bs,3,0.3026
ua,ax,4,0.3089
ua,nu,5,0.317
ua,xk,6,0.3304
ug,de,1,0.1568
ug,mm,2,0.2616
ug,ag,3,0.27
ug,ve,4,0.2765
ug,mz,5,0.2769
ug,be,6,0.2771
um,us,1,0.0
um,lr,2,0.2525
um,rs,3,0.2923
um,io,4,0.3314
um,gb,5,0.3315
um,my,6,0.3443
us,um,1,0.0
us,lr,2,0.2525
us,rs,3,0.2923
us,io,4,0.3314
us,gb,5,0.3315
us,my,6,0.3443
uy,il,1,0.1865
uy,vi,2,0.28
uy,yt,3,0.2821
uy,bl,4,0.2849
uy,kr,5,0.2917
uy,sm,6,0.2941
uz,sl,1,0.1958
uz,hn,2,0.2165
uz,dj,3,0.2378
uz,aq,4,0.268
uz,lu,5,0.2707
uz,ne,6,0.2803
va,bn,1,0.2565
va,bt,2,0.2604
va,nu,3,0.3057
va,vi,4,0.3088
va,bl,5,0.3118
va,cy,6,0.3165
vc,td,1,0.2552
vc,ro,2,0.2555
vc,bb,3,0.2582
vc,tk,4,0.2886
vc,ve,5,0.2909
vc,bo,6,0.3138
ve,td,1,0.1741
ve,ro,2,0.1759
ve,co,3,0.2021
ve,mm,4,0.2174
ve,ec,5,0.2302
ve,la,6,0.2361
vg,pn,1,0.0359
vg,ky,2,0.0455
vg,sh,3,0.0502
vg,gs,4,0.0513
vg,fk,5,0.0518
vg,tc,6,0.0549
vi,bl,1,0.1361
vi,cy,2,0.1556
vi,yt,3,0.1659
vi,kr,4,0.1862
vi,jp,5,0.193
vi,je,6,0.2036
vn,cn,1,0.0318
vn,kg,2,0.045
vn,im,3,0.0532
vn,tr,4,0.0635
vn,ma,5,0.0688
vn,tn,6,0.0787
vu,ly,1,0.1781
vu,bf,2,0.2098
vu,mq,3,0.2165
vu,ao,4,0.2253
vu,gw,5,0.2364
vu,pg,6,0.2434
wf,hk,1,0.0835
wf,tn,2,0.0876
wf,tr,3,0.0885
wf,im,4,0.092
wf,to,5,0.1099
wf,ma,6,0.1121
ws,tw,1,0.1125
ws,ma,2,0.1337
ws,wf,3,0.1393
ws,im,4,0.1558
ws,bm,5,0.1628
ws,tl,6,0.1659
xk,tf,1,0.1223
xk,is,2,0.1992
xk,se,3,0.2077
xk,sv,4,0.2082
xk,ax,5,0.2551
xk,bs,6,0.2663
ye,eg,1,0.0202
ye,iq,2,0.0216
ye,sd,3,0.1136
ye,hu,4,0.1749
ye,at,5,0.1757
ye,ae,6,0.1844
yt,bl,1,0.0823
yt,cy,2,0.0999
yt,jp,3,0.1098
yt,kr,4,0.1114
yt,vi,5,0.1659
yt,gb-nir,6,0.1676
za,na,1,0.286
za,gm,2,0.2984
za,mx,3,0.311
za,lt,4,0.3144
za,bz,5,0.3221
za,gd,6,0.3248
zm,tm,1,0.1241
zm,cc,2,0.1549
zm,st,3,0.2479
zm,kn,4,0.2849
zm,cx,5,0.3013
zm,mw,6,0.3026
zw,gh,1,0.2837
zw,bo,2,0.3053
zw,by,3,0.3194
zw,mg,4,0.3242
zw,tg,5,0.3254
zw,sr,6,0.3282
